Lot,Final Bid
50191711.0,56500.0
56343881.0,10400.0
47823841.0,1050.0
49060271.0,7000.0
56346161.0,25000.0
52166261.0,3600.0
52510051.0,5200.0
39120461.0,4000.0
40969871.0,2550.0
44710751.0,675.0
51305821.0,2.0
45872731.0,2.0
47016391.0,1250.0
47188691.0,4650.0
42927381.0,26000.0
49879041.0,4350.0
44244951.0,4200.0
42468901.0,1300.0
40522961.0,1250.0
47728551.0,825.0
44942081.0,300.0
45681081.0,200.0
33251501.0,5600.0
42644411.0,150.0
45651751.0,7100.0
39729671.0,14200.0
40633801.0,4900.0
41560821.0,31750.0
56133081,2550.0
54248731,725.0
56616641,1700.0
56141451,2050.0
56083941,600.0
54477311,4700.0
56176841,6200.0
53686351,325.0
52315821,1900.0
55048841,12500.0
55990491,1750.0
56074741,400.0
54386941,600.0
45234331,4650.0
55651161,10900.0
55053621,925.0
55276751,3300.0
55664701,250.0
54422181,1650.0
56014781,675.0
55853791,2450.0
55294361,1250.0
55193821,650.0
53522401,650.0
48882431,3650.0
55168591,18400.0
52919601,775.0
40239911,625.0
55744001,6900.0
55190161,1550.0
56476191,3100.0
55048301,850.0
53228671,550.0
54941981,3700.0
56380431,1500.0
49884491,1000.0
52552101,325.0
49496601,4300.0
54081671,450.0
55156201,700.0
55969631,1450.0
53856191,2050.0
52088981,325.0
55198581,1950.0
52003731,2300.0
48994331,1500.0
54671451,2100.0
51093721,6800.0
47030491,625.0
54713091,1850.0
49658531,825.0
55751571,6900.0
51510491,3150.0
56180001,1600.0
54741471,33500.0
50123341,6100.0
53442861,6600.0
56347970,1600.0
55409431,1950.0
56098161,3600.0
55539021,425.0
55751971,2850.0
39572811,1300.0
51319771,6200.0
55145641,14400.0
47550621,1500.0
56215491,1900.0
55254761,4100.0
41667881,300.0
52812471,2250.0
55933321,1050.0
55415961,450.0
55747491,7500.0
51230241,6900.0
60845310,375.0
53328721,3100.0
56098471,8700.0
56178641,4450.0
41895761,550.0
55120611,10800.0
52189741,7700.0
49672161,675.0
56393441,4200.0
55922931,2550.0
50329291,8000.0
53456431,1300.0
54988441,2050.0
53067751,325.0
51572831,325.0
55632541,1750.0
55855921,2600.0
44451201,1300.0
55790531,22100.0
56070021,625.0
55312031,900.0
53592291,1450.0
53804601,7600.0
45858021,12800.0
55170481,750.0
54636071,4000.0
54710051,325.0
55119781,4550.0
55538761,425.0
45606821,16700.0
54799961,10900.0
56831211,3550.0
53405731,3850.0
55490031,7600.0
52670391,300.0
50139111,1500.0
55705751,525.0
41597401,525.0
32953281,1050.0
49370691,8700.0
53412421,17800.0
53704871,5200.0
56166521,925.0
55931171,550.0
54001041,500.0
52813911,2700.0
56118311,1550.0
55036631,3000.0
53804761,1850.0
53696001,2500.0
55283221,400.0
54133951,4700.0
48697131,6300.0
52812011,450.0
53109801,325.0
55028971,8800.0
53442001,12600.0
54937121,450.0
57034081,3200.0
55700691,4000.0
55098881,950.0
55518621,825.0
55760941,6500.0
55758391,650.0
55061011,3550.0
55529381,425.0
46534351,475.0
55816281,550.0
54661681,3800.0
52082661,9700.0
49321191,3600.0
44061341,2350.0
53019921,8900.0
55424321,4500.0
53122631,1200.0
54832471,9600.0
53876671,7700.0
53876891,7600.0
54497961,7600.0
48186451,3900.0
49213461,575.0
56372921,1250.0
53024371,6700.0
56286631,18000.0
54818011,50.0
54961221,1900.0
51095041,12000.0
49870621,2.0
30984241,1700.0
54059601,14900.0
44034561,1150.0
54054071,13700.0
53509891,20.0
47937241,15.0
53730031,28500.0
55925761,1900.0
55098411,6000.0
53762931,2700.0
49543361,7200.0
