Lot,Final Bid
57397201.0,1750.0
45658131.0,1750.0
56301291.0,700.0
53689431.0,1150.0
53222131.0,3250.0
50903721.0,850.0
51452081.0,5100.0
53733881.0,2250.0
53001461.0,7100.0
55350481.0,700.0
49196701.0,700.0
53675461.0,850.0
54202631.0,300.0
46733551.0,750.0
41995971.0,7600.0
53090351.0,1300.0
53069941.0,2050.0
57423751.0,10500.0
55050221.0,600.0
52731531.0,525.0
54672661.0,32000.0
54059181.0,60.0
52447971.0,525.0
51747971.0,2750.0
40568561.0,9100.0
33336121.0,2100.0
56055761.0,275.0
56675441.0,2550.0
50768771.0,2350.0
53374161.0,9000.0
53429821.0,1400.0
52674591.0,2100.0
50778121.0,4000.0
48785591.0,1300.0
52237461.0,400.0
44938971.0,16600.0
57152671.0,1700.0
53885141.0,700.0
55322261.0,14200.0
55736361.0,5800.0
56274241.0,775.0
48618751.0,800.0
54917541.0,6500.0
53188251.0,21000.0
50944571.0,22700.0
44271811.0,10000.0
50940381.0,700.0
52973791.0,850.0
52957781.0,3500.0
52598631.0,15800.0
48385641.0,2300.0
50198671.0,3650.0
51173951.0,950.0
52776191.0,925.0
52229161.0,5200.0
55872371.0,200.0
42971151.0,1350.0
52906831.0,12000.0
53733391.0,13900.0
52619331.0,4550.0
55248101.0,950.0
57295111.0,1000.0
51211711.0,875.0
55261281.0,1150.0
54660671.0,1200.0
51929281.0,950.0
57264181.0,2350.0
56273831.0,1100.0
57267581.0,3150.0
51981851.0,725.0
53318021.0,1350.0
53224721.0,1250.0
54305831.0,6800.0
52682911.0,6000.0
57317401.0,3400.0
55288041.0,1250.0
55723161.0,2050.0
54251221.0,2850.0
53949771.0,8900.0
55896251.0,38000.0
55029431.0,1900.0
53003891.0,3400.0
57315651.0,4600.0
54251471.0,1800.0
55287491.0,1550.0
56449501.0,1100.0
55394061.0,8500.0
54163581.0,15000.0
56702681.0,5900.0
55543771.0,700.0
50616561.0,600.0
57427191.0,3250.0
53171851.0,600.0
53206751.0,475.0
55335181.0,2200.0
54920861.0,375.0
52730941.0,1900.0
52219361.0,500.0
52391781.0,625.0
57108201.0,725.0
53702781.0,975.0
52426781.0,7000.0
48169451.0,975.0
52399441.0,7500.0
50444451.0,4050.0
55449661.0,18300.0
52680351.0,1300.0
53372541.0,19100.0
53192941.0,1550.0
54828651.0,9700.0
53035191.0,1450.0
50387911.0,800.0
55134331.0,2400.0
54727441.0,3600.0
56449121.0,3450.0
52974731.0,16000.0
52129061.0,300.0
53075751.0,2400.0
53024591.0,700.0
53125971.0,4550.0
52416621.0,1450.0
53555561.0,3550.0
52290661.0,2650.0
54489961.0,600.0
49692261.0,650.0
36089311.0,4250.0
52572411.0,1800.0
53163561.0,12100.0
55209651.0,3150.0
52189381.0,3050.0
55224201.0,1400.0
55326331.0,56500.0
55707551.0,800.0
55509731.0,1450.0
56551031.0,4150.0
57257301.0,67500.0
41495290.0,16900.0
43311261.0,2200.0
50617331.0,2200.0
50284211.0,2700.0
56780541.0,72000.0
49048611.0,450.0
55280091.0,825.0
57319481.0,2900.0
57309051.0,5000.0
56450731.0,8700.0
57055931.0,19600.0
57306651.0,350.0
55467601.0,12100.0
56825281.0,12100.0
57389601.0,15700.0
52673151.0,5300.0
51873391.0,2500.0
52671921.0,1250.0
57066741.0,20000.0
55187291.0,475.0
55793071.0,8900.0
55515011.0,3450.0
57186071.0,21800.0
53088191.0,2100.0
53909301.0,2050.0
54042391.0,1800.0
47488421.0,850.0
57507431.0,41250.0
55954131.0,1050.0
51982681.0,2000.0
53680421.0,2500.0
50799541.0,11500.0
56616351.0,700.0
50874771.0,975.0
54619581.0,1250.0
51888451.0,1200.0
53095251.0,2150.0
48668091.0,1850.0
60075870.0,12800.0
53323231.0,18900.0
54689861.0,3150.0
42353671.0,9600.0
54728391.0,1300.0
55135141.0,18200.0
48127021.0,2450.0
37399041.0,5900.0
55937921.0,5400.0
55514501.0,200.0
40203721.0,200.0
49720341.0,900.0
52571941.0,1500.0
46532741.0,1100.0
53178181.0,3100.0
54835611.0,2600.0
48331531.0,250.0
48178511.0,1400.0
55947111.0,4600.0
40899461.0,1200.0
45114791.0,350.0
56450281.0,2100.0
53862981.0,1700.0
56033071.0,4200.0
57219951.0,30250.0
56745851.0,4300.0
57220991.0,4300.0
57308991.0,6500.0
52682241.0,2200.0
56182311.0,13200.0
56460491.0,52000.0
56009771.0,5300.0
51083851.0,1950.0
54560151.0,15500.0
56697061.0,18200.0
55819671.0,13500.0
55121111.0,3100.0
55263651.0,200.0
56787291.0,26750.0
56135921.0,15600.0
57294751.0,1550.0
56168991.0,12900.0
44343251.0,7300.0
40785181.0,500.0
57303241.0,6500.0
45604441.0,6700.0
53282521.0,7700.0
40402571.0,4400.0
53528641.0,2300.0
53283621.0,6600.0
52262951.0,8200.0
57272261.0,19400.0
53063231.0,1600.0
52453741.0,625.0
53062811.0,23000.0
53284971.0,5900.0
50287741.0,650.0
55043721.0,1550.0
57066511.0,11100.0
46189211.0,7500.0
